1,L-Dopa,Levodopa,Tablet,250mg,Iran Pharmaceutical Company,"Nausea, Insomnia, Headache"
2,Ramipril,Ramipril,Tablet,5mg,Pars Pharma Company,"Dizziness, Fatigue"
3,Topiramate,Topiramate,Capsule,100mg,Pesa Pharma Company,"Appetite Loss, Weight Loss"
4,Metformin,Metformin,Tablet,500mg,Artan Pharma Company,"Diarrhea, Bloating"
5,Aspirin,Acetylsalicylic Acid,Tablet,325mg,Dana Pharma Company,"Bleeding, Stomach Irritation"
6,Amitriptyline,Amitriptyline,Tablet,10mg,Iris Pharma Company,"Dry Mouth, Drowsiness"
7,Diazepam,Diazepam,Tablet,2mg,Alborz Pharma Company,"Sleepiness, Weakness"
8,Nifedipine,Nifedipine,Tablet,20mg,Sina Pharma Company,"Headache, Facial Flushing"
9,Sumatriptan,Sumatriptan,Injection,20mg,Razak Pharma Company,"Feeling of Warmth, Fatigue"
10,Propranolol,Propranolol,Tablet,40mg,Arvand Pharma Company,"Fatigue, Cold Extremities"
